g_ptsx,g_ptsy
4.66E-04,0.01278245
4.67E-04,0.01272441
4.67E-04,0.01264434
4.68E-04,0.01258621
4.69E-04,0.01250623
4.69E-04,0.012448
4.70E-04,0.01236811
4.71E-04,0.0123098
4.72E-04,0.01223
4.72E-04,0.0121716
4.73E-04,0.01209188
4.74E-04,0.0120334
4.74E-04,0.01195377
4.75E-04,0.0118952
4.76E-04,0.01181566
4.76E-04,0.011757
4.77E-04,0.01167754
4.78E-04,0.01161879
4.78E-04,0.01153943
4.79E-04,0.01148058
4.80E-04,0.01140133
4.80E-04,0.01134237
4.81E-04,0.01126324
4.82E-04,0.01120414
4.83E-04,0.01112517
4.83E-04,0.01106586
4.84E-04,0.01098721
4.85E-04,0.01092729
4.85E-04,0.01085587
4.86E-04,0.0108142
4.87E-04,0.0107514
4.87E-04,0.01070923
4.88E-04,0.01064673
4.89E-04,0.01060436
4.89E-04,0.01054202
4.90E-04,0.01049951
4.91E-04,0.01043729
4.92E-04,0.01039467
4.92E-04,0.01033255
4.93E-04,0.01028984
4.94E-04,0.01022781
4.94E-04,0.01018501
4.95E-04,0.01012307
4.96E-04,0.01008018
4.96E-04,0.01001833
4.97E-04,0.00997536
4.98E-04,0.00991358
4.98E-04,0.00987053
4.99E-04,0.00980884
5.00E-04,0.0097657
5.01E-04,0.00970409
5.01E-04,0.00966088
5.02E-04,0.00959935
5.03E-04,0.00955606
5.03E-04,0.0094946
5.04E-04,0.00945123
5.05E-04,0.00938986
5.05E-04,0.00934641
5.06E-04,0.00928511
5.07E-04,0.00924159
5.07E-04,0.00918036
5.08E-04,0.00913676
5.09E-04,0.00907561
5.09E-04,0.00903194
5.10E-04,0.00897086
5.11E-04,0.00892712
5.12E-04,0.00886611
5.12E-04,0.00882231
5.13E-04,0.00876135
5.14E-04,0.00871752
5.14E-04,0.00865648
5.15E-04,0.00861392
5.16E-04,0.00856449
5.16E-04,0.00853345
5.17E-04,0.00848548
5.18E-04,0.0084542
5.18E-04,0.00840637
5.19E-04,0.00837499
5.20E-04,0.00832725
5.21E-04,0.00829578
5.21E-04,0.00824812
5.22E-04,0.00821657
5.23E-04,0.00816899
5.23E-04,0.00813737
5.24E-04,0.00808986
5.25E-04,0.00805816
5.25E-04,0.00801073
5.26E-04,0.00797896
5.27E-04,0.0079316
5.27E-04,0.00789975
5.28E-04,0.00785247
5.29E-04,0.00782055
5.29E-04,0.00777334
5.30E-04,0.00774134
5.31E-04,0.00769421
5.32E-04,0.00766214
5.32E-04,0.00761508
5.33E-04,0.00758293
5.34E-04,0.00753594
5.34E-04,0.00750373
5.35E-04,0.00745681
5.36E-04,0.00742452
5.36E-04,0.00737768
5.37E-04,0.00734531
5.38E-04,0.00729855
5.38E-04,0.00726611
5.39E-04,0.00721943
5.40E-04,0.0071869
5.41E-04,0.0071403
5.41E-04,0.00710769
5.42E-04,0.00706117
5.43E-04,0.00702848
5.43E-04,0.00698205
5.44E-04,0.00694925
5.45E-04,0.00690297
5.45E-04,0.0068699
5.46E-04,0.00682524
5.47E-04,0.00680154
5.47E-04,0.0067651
5.48E-04,0.00674197
5.49E-04,0.00670555
5.50E-04,0.00668236
5.50E-04,0.00664601
5.51E-04,0.00662274
5.52E-04,0.00658646
5.52E-04,0.00656312
5.53E-04,0.00652692
5.54E-04,0.0065035
5.54E-04,0.00646737
5.55E-04,0.00644388
5.56E-04,0.00640783
5.56E-04,0.00638427
5.57E-04,0.00634828
5.58E-04,0.00632465
5.58E-04,0.00628874
5.59E-04,0.00626503
5.60E-04,0.00622919
5.61E-04,0.00620541
5.61E-04,0.00616965
5.62E-04,0.0061458
5.63E-04,0.0061101
5.63E-04,0.00608618
5.64E-04,0.00605056
5.65E-04,0.00602656
5.65E-04,0.00599101
5.66E-04,0.00596695
5.67E-04,0.00593146
5.67E-04,0.00590733
5.68E-04,0.00587192
5.69E-04,0.00584772
5.70E-04,0.00581237
5.70E-04,0.0057881
5.71E-04,0.00575282
5.72E-04,0.00572849
5.72E-04,0.00569327
5.73E-04,0.00566888
5.74E-04,0.00563372
5.74E-04,0.00560927
5.75E-04,0.00557417
5.76E-04,0.00554966
5.76E-04,0.0055146
5.77E-04,0.00549007
5.78E-04,0.00545514
5.79E-04,0.00543551
5.79E-04,0.00540827
5.80E-04,0.00539055
5.81E-04,0.00536317
5.81E-04,0.00534547
5.82E-04,0.0053181
5.83E-04,0.00530037
5.83E-04,0.00527305
5.84E-04,0.00525526
5.85E-04,0.005228
5.85E-04,0.00521015
5.86E-04,0.00518295
5.87E-04,0.00516504
5.87E-04,0.0051379
5.88E-04,0.00511992
5.89E-04,0.00509286
5.90E-04,0.00507481
5.90E-04,0.00504781
5.91E-04,0.0050297
5.92E-04,0.00500277
5.92E-04,0.00498458
5.93E-04,0.00495772
5.94E-04,0.00493947
5.94E-04,0.00491267
5.95E-04,0.00489436
5.96E-04,0.00486763
5.96E-04,0.00484924
5.97E-04,0.00482258
5.98E-04,0.00480413
5.99E-04,0.00477754
5.99E-04,0.00475902
6.00E-04,0.00473249
6.01E-04,0.0047139
