g_ptsx,g_ptsy
4.19E-04,0.081160072
4.20E-04,0.080924612
4.20E-04,0.08066625
4.21E-04,0.080430728
4.22E-04,0.080172426
4.22E-04,0.079936847
4.23E-04,0.079678599
4.24E-04,0.079442972
4.25E-04,0.079184762
4.25E-04,0.078949114
4.26E-04,0.078690888
4.27E-04,0.078455349
4.27E-04,0.078196679
4.28E-04,0.077965257
4.29E-04,0.077739332
4.29E-04,0.077539469
4.30E-04,0.077317062
4.31E-04,0.077116735
4.31E-04,0.076894519
4.32E-04,0.076694071
4.33E-04,0.07647195
4.34E-04,0.076271419
4.34E-04,0.076049375
4.35E-04,0.07584877
4.36E-04,0.075626799
4.36E-04,0.075426122
4.37E-04,0.075204222
4.38E-04,0.075003474
4.38E-04,0.074781645
4.39E-04,0.074580826
4.40E-04,0.074359069
4.40E-04,0.074158178
4.41E-04,0.073936493
4.42E-04,0.073735529
4.43E-04,0.073513917
4.43E-04,0.073312879
4.44E-04,0.073091343
4.45E-04,0.072890228
4.45E-04,0.07266877
4.46E-04,0.072467575
4.47E-04,0.0722462
4.47E-04,0.072044919
4.48E-04,0.071823632
4.49E-04,0.07162226
4.49E-04,0.07140107
4.50E-04,0.071199593
4.51E-04,0.070978517
4.51E-04,0.070776914
4.52E-04,0.070555983
4.53E-04,0.070354206
4.54E-04,0.070133497
4.54E-04,0.069931409
4.55E-04,0.069711201
4.56E-04,0.069508103
4.56E-04,0.06930113
4.57E-04,0.069131165
4.58E-04,0.068939528
4.58E-04,0.068768715
4.59E-04,0.06857755
4.60E-04,0.068406437
4.60E-04,0.06821549
4.61E-04,0.068044205
4.62E-04,0.067853401
4.63E-04,0.06768199
4.63E-04,0.067491301
4.64E-04,0.067319784
4.65E-04,0.067129194
4.65E-04,0.066957583
4.66E-04,0.066767083
4.67E-04,0.066595385
4.67E-04,0.06640497
4.68E-04,0.066233189
4.69E-04,0.066042856
4.69E-04,0.065870993
4.70E-04,0.065680741
4.71E-04,0.065508798
4.72E-04,0.065318626
4.72E-04,0.065146603
4.73E-04,0.064956511
4.74E-04,0.064784408
4.74E-04,0.064594396
4.75E-04,0.064422211
4.76E-04,0.064232284
4.76E-04,0.064060013
4.77E-04,0.063870173
4.78E-04,0.063697812
4.78E-04,0.063508067
4.79E-04,0.063335605
4.80E-04,0.063145968
4.80E-04,0.062973388
4.81E-04,0.062783885
4.82E-04,0.062611146
4.83E-04,0.062421842
4.83E-04,0.062248828
4.84E-04,0.062059963
4.85E-04,0.061886069
